Wind Speed,Day,Thermodepth 12:00 PM,Day,Thermodepth 12:00 AM
0,1,8,1,6
0.6,2,8,2,8
0.4,3,8,3,8
0.7,4,8,4,8
1.1,5,2,5,8
3,6,4,6,4
1.2,7,8,7,2
1.4,8,6,8,8
1.4,9,8,9,4
0.5,10,6,10,8
0.4,11,6,11,8
1.2,12,6,12,6
1.3,13,8,13,6
2,14,6,14,6
1.1,15,8,15,8
0.9,16,8,16,6
0.8,17,6,17,6
1.3,18,6,18,8
0,19,6,19,8
1.5,20,8,20,6
0.5,21,8,21,8
0,22,6,22,8
1.2,23,6,23,8
1.8,24,6,24,6
0.4,25,8,25,8
1.1,26,8,26,8
0.3,27,8,27,6
0.7,28,6,28,8
1.5,29,8,29,6
1.6,30,8,30,8
0.7,31,8,31,6
2,,,,
0,,,,
0.6,,,,
0.4,,,,
1.5,,,,
0,,,,
0.5,,,,
